timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence,temperature,timestamp_utc,timezone
2020-09-19 12:00:32+02:00,48.55246379971504,17.964956620708108,54.40034,222.20000000000005,222.20000000000005,48.7836,48.7836,97,85,,23,2020-09-19 10:00:32,Europe/Bratislava
2020-09-19 12:00:33+02:00,48.552426835522056,17.964777247980237,54.41418,222.20000000000005,222.20000000000005,49.5108,49.5108,97,68,,23,2020-09-19 10:00:33,Europe/Bratislava
2020-09-19 12:00:34+02:00,48.55238710530102,17.96460147947073,54.42782,221.79999999999995,221.79999999999995,50.166000000000004,50.166000000000004,97,85,,23,2020-09-19 10:00:34,Europe/Bratislava
2020-09-19 12:00:35+02:00,48.55234268121421,17.964416407048702,54.442370000000004,221.39999999999998,221.39999999999998,50.6592,50.6592,97,87,,23,2020-09-19 10:00:35,Europe/Bratislava
2020-09-19 12:00:36+02:00,48.55229448527098,17.964243488386273,54.45633,221.0,221.0,51.0876,51.0876,97,87,,23,2020-09-19 10:00:36,Europe/Bratislava
2020-09-19 12:00:37+02:00,48.55224922299385,17.96407031826675,54.47011,220.60000000000002,220.60000000000002,50.9544,50.9544,97,9,,23,2020-09-19 10:00:37,Europe/Bratislava
2020-09-19 12:00:38+02:00,48.55219851247966,17.963892370462418,54.48433,220.39999999999998,220.39999999999998,50.223600000000005,50.223600000000005,97,0,,23,2020-09-19 10:00:38,Europe/Bratislava
2020-09-19 12:00:39+02:00,48.55214302428067,17.963713752105832,54.498839999999994,220.0,220.0,50.1336,50.1336,98,0,,23,2020-09-19 10:00:39,Europe/Bratislava
2020-09-19 12:00:40+02:00,48.55209583416581,17.963534547016025,54.51318,219.60000000000002,219.60000000000002,50.0112,50.0112,98,83,,23,2020-09-19 10:00:40,Europe/Bratislava
2020-09-19 12:00:41+02:00,48.55205610394478,17.96335115097463,54.5275,219.20000000000005,219.20000000000005,49.7232,49.7232,98,83,,23,2020-09-19 10:00:41,Europe/Bratislava
2020-09-19 12:00:42+02:00,48.55201578699052,17.96317026950419,54.5415,219.0,219.0,50.083200000000005,50.083200000000005,98,83,,23,2020-09-19 10:00:42,Europe/Bratislava
2020-09-19 12:00:43+02:00,48.55198041535914,17.962994584813714,54.55503,218.79999999999995,218.79999999999995,49.9428,49.9428,98,26,,23,2020-09-19 10:00:43,Europe/Bratislava
2020-09-19 12:00:44+02:00,48.55194537900388,17.96281998977065,54.56855,218.60000000000002,218.60000000000002,49.1904,49.1904,98,84,,23,2020-09-19 10:00:44,Europe/Bratislava
2020-09-19 12:00:45+02:00,48.55190724134445,17.962641958147287,54.582339999999995,218.39999999999998,218.39999999999998,49.550399999999996,49.550399999999996,98,83,,23,2020-09-19 10:00:45,Europe/Bratislava
2020-09-19 12:00:46+02:00,48.55187145061791,17.96246468089521,54.596019999999996,218.0,218.0,49.129200000000004,49.129200000000004,98,82,,23,2020-09-19 10:00:46,Europe/Bratislava
2020-09-19 12:00:47+02:00,48.551839431747794,17.96228438615799,54.60984,217.79999999999995,217.79999999999995,48.8592,48.8592,98,82,,23,2020-09-19 10:00:47,Europe/Bratislava
2020-09-19 12:00:48+02:00,48.55180447921157,17.962100319564342,54.623940000000005,217.60000000000002,217.60000000000002,49.4532,49.4532,98,35,,23,2020-09-19 10:00:48,Europe/Bratislava
2020-09-19 12:00:49+02:00,48.551768604665995,17.961917342618108,54.63797,217.39999999999998,217.39999999999998,48.42,48.42,98,0,,23,2020-09-19 10:00:49,Europe/Bratislava
2020-09-19 12:00:50+02:00,48.551736418157816,17.961747525259852,54.651050000000005,217.39999999999998,217.39999999999998,47.894400000000005,47.894400000000005,98,0,,23,2020-09-19 10:00:50,Europe/Bratislava
2020-09-19 12:00:51+02:00,48.5516993701458,17.961580641567707,54.66404,217.39999999999998,217.39999999999998,48.132,48.132,98,89,,23,2020-09-19 10:00:51,Europe/Bratislava
2020-09-19 12:00:52+02:00,48.55165938846767,17.961405124515295,54.67772,217.20000000000005,217.20000000000005,47.9088,47.9088,98,88,,23,2020-09-19 10:00:52,Europe/Bratislava
2020-09-19 12:00:53+02:00,48.55162359774113,17.961233630776405,54.691069999999996,217.0,217.0,48.042,48.042,98,88,,23,2020-09-19 10:00:53,Europe/Bratislava
2020-09-19 12:00:54+02:00,48.55158478952944,17.961071021854877,54.70377,216.79999999999995,216.79999999999995,47.0664,47.0664,98,20,,23,2020-09-19 10:00:54,Europe/Bratislava
2020-09-19 12:00:55+02:00,48.55154950171709,17.960907574743032,54.71647,216.60000000000002,216.60000000000002,45.18000000000001,45.18000000000001,98,0,,23,2020-09-19 10:00:55,Europe/Bratislava
2020-09-19 12:00:56+02:00,48.55151471681893,17.96074915677309,54.72884,216.20000000000005,216.20000000000005,44.3808,44.3808,98,0,,23,2020-09-19 10:00:56,Europe/Bratislava
2020-09-19 12:00:57+02:00,48.55148294940591,17.960590990260243,54.74105,216.20000000000005,216.20000000000005,43.5672,43.5672,98,0,,23,2020-09-19 10:00:57,Europe/Bratislava
2020-09-19 12:00:58+02:00,48.55145185254514,17.960434081032872,54.75314,216.0,216.0,43.0776,43.0776,98,0,,23,2020-09-19 10:00:58,Europe/Bratislava
2020-09-19 12:00:59+02:00,48.55141983367503,17.960279183462262,54.76512,216.0,216.0,43.1892,43.1892,98,0,,23,2020-09-19 10:00:59,Europe/Bratislava
2020-09-19 12:01:00+02:00,48.55138571932912,17.960123866796494,54.77713,215.79999999999995,215.79999999999995,43.2108,43.2108,98,76,,23,2020-09-19 10:01:00,Europe/Bratislava
2020-09-19 12:01:01+02:00,48.55135386809707,17.959966706112027,54.78926,215.60000000000002,215.60000000000002,43.578,43.578,98,80,,23,2020-09-19 10:01:01,Europe/Bratislava
2020-09-19 12:01:02+02:00,48.55132712982595,17.95981289818883,54.80106,215.60000000000002,215.60000000000002,43.2648,43.2648,98,82,,23,2020-09-19 10:01:02,Europe/Bratislava
2020-09-19 12:01:03+02:00,48.55130022391677,17.959654983133078,54.813089999999995,215.39999999999998,215.39999999999998,44.7624,44.7624,98,85,,23,2020-09-19 10:01:03,Europe/Bratislava
2020-09-19 12:01:04+02:00,48.55127767659724,17.95948499813676,54.82588,215.20000000000005,215.20000000000005,47.5812,47.5812,99,89,,23,2020-09-19 10:01:04,Europe/Bratislava
2020-09-19 12:01:05+02:00,48.551256470382214,17.959305373951793,54.839349999999996,215.0,215.0,49.446,49.446,100,91,,23,2020-09-19 10:01:05,Europe/Bratislava
2020-09-19 12:01:06+02:00,48.55123140849173,17.959118792787194,54.853379999999994,214.79999999999995,214.79999999999995,49.6872,49.6872,101,95,,23,2020-09-19 10:01:06,Europe/Bratislava
2020-09-19 12:01:07+02:00,48.551200311630964,17.958938581869006,54.8671,214.60000000000002,214.60000000000002,49.806000000000004,49.806000000000004,105,95,,23,2020-09-19 10:01:07,Europe/Bratislava
2020-09-19 12:01:08+02:00,48.55117256753147,17.958761220797896,54.88057,214.39999999999998,214.39999999999998,49.4568,49.4568,109,95,,23,2020-09-19 10:01:08,Europe/Bratislava
