,day,day,day,wake,wake,wake,exercise,exercise,exercise,recovery,recovery,recovery,sleep,sleep,sleep
,W,p,sign,W,p,sign,W,p,sign,W,p,sign,W,p,sign
glucose_mean,0.97,0.871,,0.97,0.902,,0.96,0.712,,0.96,0.78,,0.91,0.22,
glucose_cv,0.97,0.905,,0.96,0.848,,0.94,0.499,,0.98,0.98,,0.93,0.431,
perc_in_hypoL2,0.77,0.004,**,0.69,0.001,***,0.51,0.0,***,0.77,0.004,**,0.87,0.073,
perc_in_hypoL1,0.97,0.882,,0.95,0.584,,0.91,0.205,,0.8,0.008,**,0.92,0.29,
perc_in_target,0.96,0.723,,0.94,0.509,,0.94,0.526,,0.92,0.306,,0.95,0.641,
perc_in_hyperL1,0.96,0.805,,0.94,0.48,,0.89,0.111,,0.92,0.281,,0.92,0.271,
perc_in_hyperL2,0.93,0.363,,0.93,0.38,,0.91,0.211,,0.93,0.387,,0.79,0.007,**
