altitude,m
ascent,m
cadence,rpm
calories,kcal
distance,km
enhanced_altitude,m
enhanced_speed,km/h
glucose,mg/dL
gps_accuracy,m
grade,%
heart_rate,bpm
left_pedal_smoothness,percent
left_right_balance,
left_torque_effectiveness,percent
position_lat,deg
position_long,deg
power,watts
right_pedal_smoothness,percent
right_torque_effectiveness,percent
speed,km/h
temperature,C
timestamp,YYYY-MM-DD HH:mm:ss
